Date,Time,RecordID,Status,Latitude,Longitude,Wind,Pressure,WindNE34,WindSE34,WindSW34,WindNW34,WindNE50,WindSE50,WindSW50,WindNW50,WindNE64,WindSE64,WindSW64,WindNW64,MaxWindRadius
1999-07-03,0400,L,TD,20.5,-97,30,1004,,,,,,,,,,,,,
1999-07-03,0600,"",TD,20.4,-97.3,25,1005,,,,,,,,,,,,,
1999-08-23,0000,L,HU,26.9,-97.4,100,951,,,,,,,,,,,,,10
1999-09-06,0600,"",TD,22.6,-97.2,30,1006,,,,,,,,,,,,,
1999-10-06,0600,"",TD,19.5,-95.4,30,1007,,,,,,,,,,,,,
1999-10-14,1800,"",TS,22.4,-82.4,60,995,,,,,,,,,,,,,
1999-10-14,1900,L,TS,22.7,-82.5,60,986,,,,,,,,,,,,,
1999-10-15,0000,"",TS,23.1,-82.6,60,988,,,,,,,,,,,,,
1999-10-15,0600,"",HU,23.8,-82.2,65,988,,,,,,,,,,,,,
1999-10-15,1200,"",HU,24.4,-81.8,65,987,,,,,,,,,,,,,
1999-10-15,1300,L,HU,24.6,-81.6,65,987,,,,,,,,,,,,,30
1999-10-15,1800,"",HU,25.1,-81.3,65,986,,,,,,,,,,,,,
1999-10-16,0000,"",HU,26.1,-80.6,65,986,,,,,,,,,,,,,
1999-10-31,0600,"",TD,17.2,-87.4,25,1007,,,,,,,,,,,,,
1999-11-01,0600,"",TD,20.4,-89.8,20,1011,,,,,,,,,,,,,
1999-11-01,1200,"",TD,21.2,-89.8,20,1011,,,,,,,,,,,,,
2000-09-09,0600,"",TD,29.3,-93.8,25,1009,,,,,,,,,,,,,
2000-09-14,1800,"",TD,20.4,-87.4,25,1007,,,,,,,,,,,,,
2000-09-15,0000,"",TD,20.7,-87.7,25,1007,,,,,,,,,,,,,
2000-09-20,0000,"",TD,19.9,-81,30,1010,,,,,,,,,,,,,
2000-09-22,1200,L,TS,30.5,-86.6,35,1006,,,,,,,,,,,,,
2000-10-01,1200,"",HU,17.9,-87.4,115,944,,,,,,,,,,,,,
2000-10-01,1800,"",HU,17.9,-87.7,110,950,,,,,,,,,,,,,
2000-10-02,0000,"",HU,17.8,-87.9,100,959,,,,,,,,,,,,,
2000-10-02,0600,"",HU,17.6,-87.8,80,974,,,,,,,,,,,,,
