city,latitude,longitude,svm_risk_level,kde_risk_level,svm_confidence,kde_risk_score,combined_risk_score,svm_prob_Cat4-5,kde_prob_Cat4-5,svm_prob_Cat5,kde_prob_Cat5,svm_prob_TS,kde_prob_TS,svm_prob_Cat1,kde_prob_Cat1,svm_prob_Cat4,kde_prob_Cat4,svm_prob_TD,kde_prob_TD,svm_prob_Cat2,kde_prob_Cat2,svm_prob_Cat3,kde_prob_Cat3
New Orleans (USA),29.951065,-90.071533,Unknown,Very High,0.5073383520693932,1.0,0.7536691760346965,0.031300612534052384,0.0,0.0,0.0,0.2979133524341793,0.4250619134439547,0.0698516838128212,0.11050328326532878,0.0,0.04317858981053316,0.5073383520693932,0.3170320763788894,0.05501077549951649,0.04273537947824949,0.03858522365003696,0.061488757623044496
Houston (USA),29.760427,-95.369804,Unknown,Very High,0.5147468307655152,1.0,0.7573734153827576,0.031119882710596396,0.0,0.0,0.0,0.2919291238437309,0.4250619134439547,0.06924180749476609,0.11050328326532878,0.0,0.04317858981053316,0.5147468307655152,0.3170320763788894,0.05462899263327282,0.04273537947824949,0.03833336255211832,0.061488757623044496
Tampa (USA),27.950575,-82.457176,Unknown,High,0.49592421299746065,0.784769303202914,0.6403467581001874,0.03260218752177349,0.0,0.0,0.0,0.3016253214671182,0.4250619134439547,0.07239157052742905,0.11050328326532878,0.0,0.04317858981053316,0.49592421299746065,0.3170320763788894,0.057267790199092464,0.04273537947824949,0.04018891728712584,0.061488757623044496
Miami (USA),25.761681,-80.191788,Unknown,Very High,0.4971979993891468,1.0,0.7485989996945734,0.03292030980088879,0.0,0.0,0.0,0.2987204999339401,0.4250619134439547,0.0728285196864609,0.11050328326532878,0.0,0.04317858981053316,0.4971979993891468,0.3170320763788894,0.05777219380685155,0.04273537947824949,0.040560477382711506,0.061488757623044496
Corpus Christi (USA),27.800583,-97.396378,Unknown,Very High,0.5122713802599126,0.921577913188408,0.7169246467241603,0.03155468626437274,0.0,0.0,0.0,0.29191797527933483,0.4250619134439547,0.07002865900393712,0.11050328326532878,0.0,0.04317858981053316,0.5122713802599126,0.3170320763788894,0.0553658532026631,0.04273537947824949,0.038861445989779475,0.061488757623044496
Pensacola (USA),30.421309,-87.216911,Unknown,Very High,0.5033745380714973,1.0,0.7516872690357487,0.03162708910404637,0.0,0.0,0.0,0.2998771356261645,0.4250619134439547,0.07053832400744224,0.11050328326532878,0.0,0.04317858981053316,0.5033745380714973,0.3170320763788894,0.055589867433410725,0.04273537947824949,0.038993045757438824,0.061488757623044496
Mobile (USA),37.358402,-94.723251,Unknown,Low,0.678684494312483,0.223771669772959,0.451228082042721,0.022538824175616878,0.0,0.0,0.0,0.18409471115085524,0.4250619134439547,0.04858573540285079,0.11050328326532878,0.0,0.04317858981053316,0.678684494312483,0.3170320763788894,0.038723561703867475,0.04273537947824949,0.02737267325432609,0.061488757623044496
Galveston (USA),29.301348,-94.797699,Unknown,Very High,0.5129496639730472,1.0,0.7564748319865235,0.031188074352416998,0.0,0.0,0.0,0.2932504222993113,0.4250619134439547,0.06942758478516045,0.11050328326532878,0.0,0.04317858981053316,0.5129496639730472,0.3170320763788894,0.0547610494412209,0.04273537947824949,0.03842320514884346,0.061488757623044496
Biloxi (USA),30.396032,-88.885307,Unknown,Very High,0.506334769541481,1.0,0.7531673847707405,0.03137573303450789,0.0,0.0,0.0,0.2984506253945326,0.4250619134439547,0.07001398984270571,0.11050328326532878,0.0,0.04317858981053316,0.506334769541481,0.3170320763788894,0.055145266816920155,0.04273537947824949,0.03867961536985237,0.061488757623044496
Key West (USA),24.555059,-81.779984,Unknown,Very High,0.4998728642696123,1.0,0.7499364321348061,0.032710373749139564,0.0,0.0,0.0,0.2973415984736937,0.4250619134439547,0.07238105379269238,0.11050328326532878,0.0,0.04317858981053316,0.4998728642696123,0.3170320763788894,0.057397190329747334,0.04273537947824949,0.040296919385114996,0.061488757623044496
